ru,en
весь,Everything
но,but
они,they
ты,you
вы,you (plural)
вы,you (formal)
этот,this
какой,"which, what, what kind of"
год,year
или,or
мой,"my, mine, my people"
большой,"big, large, great, important, grown-up"
наш,"our, ours, our lot"
чтобы,so that
чтобы,in order to
ну,well
два,"two, 2"
там,"there, later, by and by"
глаз,eye
первый,"first, front, former, earliest"
жизнь,"life, existence"
ничто,"nothing, nought"
очень,"very, very much, greatly"
друг,friend
дом,"house, home, house-hold"
тоже,"also, as well, too"
после,"after, afterwards, later"
место,"place, spot, site, locality"
место,"region, area"
место,"site, scene"
место,"room, space"
место,"job, position"
место,piece of luggage
здесь,"here, with us, in this country, about it, in it, at this point"
каждый,"each, every, everyone"
почему,why
потому,because
никто,"nobody, no one"
работа,"work, working, job"
ваш,"your, yours"
дверь,door
конец,"end, ending"
голос,"voice, part, vote"
хорошо,"it is good, it is pleasant, well, good"
вода,water
второй,"second, the latter"
машина,car
машина,"machine, machinery, engine, mechanism"
ночь,night
женщина,"woman, women, womanfolk, womankind"
отец,father
твой,"your, yours, thy, thine, your people"
война,"war, warfare"
значить,"mean, signify"
белый,white
посмотреть,"look, watch"
никогда,"never, ever"
дорога,"road, way, journey"
Россия,Russia
мать,mother
писать,write
писать,paint
комната,room
советский,Soviet
книга,"book, volume"
плечо,"shoulder, upper arm, humerus, arm"
вместе,together
сколько,"how much, how many"
зачем,"what for, why"
прийти,"come, arrive"
ходить,"go, walk, move, pass"
заметить,"notice, note, observe, sight, catch sight, pay heed, remark"
имя,"name, first name"
имя,reputation
имя,noun
быстро,"fast, quickly, rapidly, with speed"
похожий,"similar, resembling, alike"
пять,"five, 5"
глядеть,"look, peer, show, face, look out, give, point, look like, see"
тысяча,a thousand
оно,"it, he, she"
стена,wall
написать,write
написать,paint
ранний,early
спина,back
огромный,"enormous, huge, vast"
тело,body
мама,"mom, mama, mommy, mummy"
также,"also, as well, too, either"
иногда,"sometimes, at times"
затем,"then, after that, thereupon, upon which, subsequently, for that reason"
оба,both
разный,"different, diverse, various"
откуда,from where
четыре,"four, 4"
генерал,"general, General"
кровь,blood
например,"for example, for instance"
капитан,"captain, master"
сюда,here
ухо,ear
уходить,"leave, depart"
двадцать,twenty
газета,"newspaper, paper, daily paper, daily"
против,"against, opposite, facing, contrary to, to, as against"
семья,family
армия,"army, forces, host"
сильный,"strong, powerful, fierce, keen, intense, violent, towering, potent, impressive, hard, heavy, good"
муж,"husband, man"
дерево,"tree, wood"
немец,German
немец,German man
губа,"lip, inlet, bay, firth, tree-fungus"
снег,snow
часто,"often, frequently"
часто,"closely together, thickly"
зелёный,green
девочка,"girl, little girl, girlie"
камень,"stone, rock"
ветер,"wind, breeze"
проблема,problem
гость,"visitor, guest"
лучший,"better, best, the best, the better"
номер,"number, size, room, issue, item on the programme, turn, trick"
странный,"strange, queer, odd, funny, rum"
данный,"given, present"
река,"river, stream"
судьба,"fate, fortune, destiny"
добрый,good
добрый,kind
едва,"hardly, only just, scarcely, just, barely"
море,"sea, ocean"
зал,"hall, audience chamber, reception-room"
командир,"commander, commanding officer, captain"
медленно,slowly
вчера,yesterday
вещь,"thing, things, belongings, clothes, work"
результат,"result, outcome"
бывший,"former, late, quondam, ex-"
писатель,"writer, author"
план,"plan, scheme, map, target"
завтра,tomorrow
документ,"document, deed, instrument"
небольшой,"small, not great, short"
обычно,"usually, generally, commonly, as a rule"
объяснить,"explain, account"
купить,"buy, purchase"
класс,"class, form, class-room"
центр,"center, centre"
красивый,"beautiful, handsome"
прежде,"before, first, formerly, in former times"
пить,drink
директор,"director, manager, head, principal, head master, head mistress"
процесс,"process, trial, legal proceedings, legal action, cause, case, lawsuit, suit, active condition"
президент,president
сквозь,through
мимо,"past, by"
возможно,"it is possible, it may be, it is not unlikely, possibly, perhaps"
враг,"enemy, foe, opponent"
убить,"kill, murder, assassinate, slay"
счастье,"happiness, luck, good fortune"
старший,"elder, oldest, eldest, senior, chief, man in charge, elders"
самолёт,"aircraft, aeroplane, airplane, plane, air-liner"
улыбнуться,smile
улыбаться,smile
будущее,the future
многие,many
колено,"knee, elbow, joint, node, bend, generation, tribe, figure, part of a piece of music or a song"
бутылка,bottle
государственный,state
государственный,national
государственный,public
сто,hundred
телефон,"telephone, phone"
компания,company
доктор,"doctor of Philosophy, doctor, physician"
вниз,"down, downwards"
автор,"author, authoress, writer, composer, begetter"
интерес,interest
спокойно,"quietly, calmly"
лейтенант,lieutenant
политический,political
обычный,"usual, customary"
обычный,ordinary
важный,"important, significant, grand, pompous"
возвращаться,"return, go back, revert, recur, be restored, come back"
потерять,"lose, shed"
молодая,bride
остальной,"the rest of, the rest, the others"
выпить,drink
выпить,take a drink
показывать,"show, display, point"
идея,"idea, notion, concept"
профессор,professor
наука,"science, study, knowledge"
союз,"union, alliance, Union, league, agreement, conjunction"
король,king
половина,half
метр,"metre, metre measure ruler, master"
вера,"faith, belief, trust"
исчезнуть,"disappear, vanish, wear off"
ситуация,situation
кухня,"kitchen, cook-house, galley, cooking, cuisine, machinations"
надежда,hope
информация,information
